image_id,class,width,height,x,y
bisturi1.txt,0,0.53125,0.478472,0.054688,0.476389
bisturi10.txt,0,0.589844,0.4625,0.107813,0.458333
bisturi100.txt,0,0.617969,0.5375,0.23125,0.383333
bisturi101.txt,0,0.627734,0.5375,0.094531,0.472222
bisturi102.txt,0,0.628516,0.536111,0.061719,0.477778
bisturi103.txt,0,0.632812,0.53125,0.148438,0.448611
bisturi104.txt,0,0.634766,0.524306,0.225781,0.398611
bisturi105.txt,0,0.636328,0.522917,0.260156,0.348611
bisturi106.txt,0,0.636719,0.51875,0.3125,0.270833
bisturi107.txt,0,0.639063,0.506944,0.351562,0.15
bisturi108.txt,0,0.636328,0.510417,0.357031,0.095833
bisturi109.txt,0,0.631641,0.497917,0.336719,0.218056
bisturi11.txt,0,0.590625,0.456944,0.04375,0.486111
bisturi110.txt,0,0.627344,0.489583,0.276563,0.331944
bisturi111.txt,0,0.623047,0.488194,0.205469,0.4125
bisturi112.txt,0,0.603516,0.427083,0.038281,0.481944
bisturi113.txt,0,0.598047,0.433333,0.161719,0.447222
bisturi114.txt,0,0.600781,0.438194,0.25625,0.3625
bisturi115.txt,0,0.6,0.444444,0.345313,0.183333
bisturi116.txt,0,0.597266,0.440972,0.364844,0.070833
bisturi117.txt,0,0.599219,0.447917,0.325,0.234722
bisturi118.txt,0,0.600391,0.453472,0.275781,0.334722
bisturi119.txt,0,0.601562,0.45625,0.198437,0.423611
bisturi12.txt,0,0.591797,0.453472,0.097656,0.468056
bisturi120.txt,0,0.605469,0.454167,0.095312,0.472222
bisturi121.txt,0,0.598047,0.45625,0.100781,0.470833
bisturi122.txt,0,0.598437,0.45625,0.160938,0.445833
bisturi123.txt,0,0.599609,0.454861,0.246094,0.373611
bisturi124.txt,0,0.601172,0.452778,0.300781,0.286111
bisturi125.txt,0,0.601953,0.447917,0.347656,0.173611
bisturi126.txt,0,0.603906,0.454167,0.364062,0.063889
bisturi127.txt,0,0.605469,0.445139,0.334375,0.218056
bisturi128.txt,0,0.604297,0.4375,0.289844,0.313889
bisturi129.txt,0,0.600781,0.433333,0.248437,0.366667
bisturi13.txt,0,0.59375,0.45,0.148438,0.447222
bisturi130.txt,0,0.597656,0.426389,0.170312,0.438889
bisturi131.txt,0,0.591797,0.428472,0.100781,0.473611
bisturi132.txt,0,0.575781,0.471528,0.095312,0.479167
bisturi133.txt,0,0.569531,0.475694,0.178125,0.440278
bisturi134.txt,0,0.562109,0.485417,0.247656,0.368056
bisturi135.txt,0,0.583984,0.511806,0.303906,0.284722
bisturi136.txt,0,0.600781,0.530556,0.360938,0.077778
bisturi137.txt,0,0.600781,0.534722,0.328125,0.225
bisturi138.txt,0,0.603906,0.534722,0.265625,0.344444
bisturi139.txt,0,0.610937,0.538889,0.184375,0.425
bisturi14.txt,0,0.613672,0.431944,0.236719,0.377778
bisturi140.txt,0,0.601953,0.51875,0.127344,0.459722
bisturi141.txt,0,0.608594,0.520139,0.03125,0.479167
bisturi142.txt,0,0.615625,0.510417,0.165625,0.445833
bisturi143.txt,0,0.623438,0.502778,0.278125,0.327778
bisturi144.txt,0,0.626562,0.478472,0.35625,0.126389
bisturi145.txt,0,0.626172,0.475,0.363281,0.058333
bisturi146.txt,0,0.623828,0.470833,0.350781,0.158333
bisturi147.txt,0,0.616406,0.448611,0.29375,0.311111
bisturi148.txt,0,0.611719,0.448611,0.228125,0.394444
bisturi149.txt,0,0.607422,0.442361,0.171094,0.4375
bisturi15.txt,0,0.611328,0.415278,0.275781,0.330556
bisturi150.txt,0,0.601172,0.440278,0.094531,0.477778
bisturi151.txt,0,0.568359,0.461806,0.028906,0.484722
bisturi152.txt,0,0.573828,0.451389,0.191406,0.422222
bisturi153.txt,0,0.588672,0.438194,0.303906,0.293056
bisturi154.txt,0,0.604297,0.444444,0.360156,0.122222
bisturi155.txt,0,0.601953,0.427083,0.355469,0.129167
bisturi156.txt,0,0.605859,0.43125,0.319531,0.256944
bisturi157.txt,0,0.604688,0.43125,0.2625,0.354167
bisturi158.txt,0,0.608594,0.4375,0.189063,0.416667
bisturi159.txt,0,0.613281,0.434722,0.128125,0.466667
bisturi16.txt,0,0.614062,0.409028,0.307813,0.279167
bisturi160.txt,0,0.608594,0.438194,0.057813,0.481944
bisturi161.txt,0,0.612109,0.436806,0.160156,0.451389
bisturi162.txt,0,0.619141,0.436111,0.257031,0.358333
bisturi163.txt,0,0.602734,0.463194,0.330469,0.223611
bisturi164.txt,0,0.600391,0.492361,0.361719,0.051389
bisturi165.txt,0,0.60625,0.536111,0.326562,0.225
bisturi166.txt,0,0.603516,0.524306,0.255469,0.365278
bisturi167.txt,0,0.598828,0.51875,0.150781,0.451389
bisturi168.txt,0,0.595703,0.515972,0.077344,0.481944
bisturi169.txt,0,0.594531,0.447222,0.046875,0.480556
bisturi17.txt,0,0.614062,0.386806,0.348437,0.159722
bisturi170.txt,0,0.619922,0.434028,0.203906,0.4125
bisturi171.txt,0,0.627734,0.420833,0.264844,0.347222
bisturi172.txt,0,0.639453,0.4,0.332031,0.222222
bisturi173.txt,0,0.644922,0.379167,0.358594,0.094444
bisturi174.txt,0,0.642969,0.329861,0.345313,0.168056
bisturi175.txt,0,0.638281,0.315972,0.315625,0.256944
bisturi176.txt,0,0.589063,0.3625,0.253125,0.358333
bisturi177.txt,0,0.557813,0.404167,0.134375,0.455556
bisturi178.txt,0,0.526953,0.4,0.047656,0.483333
